	ID	Year_Birth	Education	Marital_Status	Income	Kidhome	Teenhome	Dt_Customer	Recency	Wines	Fruits	Meat	Fish	Sweets	Gold	NumDealsPurchases	NumWebPurchases	NumCatalogPurchases	NumStorePurchases	NumWebVisitsMonth	AcceptedCmp3	AcceptedCmp4	AcceptedCmp5	AcceptedCmp1	AcceptedCmp2	Complain	Z_CostContact	Z_Revenue	Response	Days_since_enrolment	Age	Children	Family_Size	Is_Parent	Spent
0	5524	1957	Graduate	Alone	58138.0	0	0	2012-09-04	58	635	88	546	172	88	88	3	8	10	4	7	0	0	0	0	0	0	3	11	1	663	65	0	1	0	1617
1	2174	1954	Graduate	Alone	46344.0	1	1	2014-03-08	38	11	1	6	2	1	6	2	1	1	2	5	0	0	0	0	0	0	3	11	0	113	68	2	3	1	27
2	4141	1965	Graduate	Partner	71613.0	0	0	2013-08-21	26	426	49	127	111	21	42	1	8	2	10	4	0	0	0	0	0	0	3	11	0	312	57	0	2	0	776
3	6182	1984	Graduate	Partner	26646.0	1	0	2014-02-10	26	11	4	20	10	3	5	2	2	0	4	6	0	0	0	0	0	0	3	11	0	139	38	1	3	1	53
4	5324	1981	Postgraduate	Partner	58293.0	1	0	2014-01-19	94	173	43	118	46	27	15	5	5	3	6	5	0	0	0	0	0	0	3	11	0	161	41	1	3	1	422
5	7446	1967	Postgraduate	Partner	62513.0	0	1	2013-09-09	16	520	42	98	0	42	14	2	6	4	10	6	0	0	0	0	0	0	3	11	0	293	55	1	3	1	716
6	965	1971	Graduate	Alone	55635.0	0	1	2012-11-13	34	235	65	164	50	49	27	4	7	3	7	6	0	0	0	0	0	0	3	11	0	593	51	1	2	1	590
7	6177	1985	Postgraduate	Partner	33454.0	1	0	2013-05-08	32	76	10	56	3	1	23	2	4	0	4	8	0	0	0	0	0	0	3	11	0	417	37	1	3	1	169
8	4855	1974	Postgraduate	Partner	30351.0	1	0	2013-06-06	19	14	0	24	3	3	2	1	3	0	2	9	0	0	0	0	0	0	3	11	1	388	48	1	3	1	46
9	5899	1950	Postgraduate	Partner	5648.0	1	1	2014-03-13	68	28	0	6	1	1	13	1	1	0	0	20	1	0	0	0	0	0	3	11	0	108	72	2	4	1	49
10	1994	1983	Graduate	Partner	52720.37365591398	1	0	2013-11-15	11	5	5	6	0	2	1	1	1	0	2	7	0	0	0	0	0	0	3	11	0	226	39	1	3	1	19
11	387	1976	Undergrade	Partner	7500.0	0	0	2012-11-13	59	6	16	11	11	1	16	1	2	0	3	8	0	0	0	0	0	0	3	11	0	593	46	0	2	0	61
12	2125	1959	Graduate	Alone	63033.0	0	0	2013-11-15	82	194	61	480	225	112	30	1	3	4	8	2	0	0	0	0	0	0	3	11	0	226	63	0	1	0	1102
13	8180	1952	Postgraduate	Alone	59354.0	1	1	2013-11-15	53	233	2	53	3	5	14	3	6	1	5	6	0	0	0	0	0	0	3	11	0	226	70	2	3	1	310
14	2569	1987	Graduate	Partner	17323.0	0	0	2012-10-10	38	3	14	17	6	1	5	1	1	0	3	8	0	0	0	0	0	0	3	11	0	627	35	0	2	0	46
15	2114	1946	Postgraduate	Alone	82800.0	0	0	2012-11-24	23	1006	22	115	59	68	45	1	7	6	12	3	0	0	1	1	0	0	3	11	1	582	76	0	1	0	1315
16	9736	1980	Graduate	Partner	41850.0	1	1	2012-12-24	51	53	5	19	2	13	4	3	3	0	3	8	0	0	0	0	0	0	3	11	0	552	42	2	4	1	96
17	4939	1946	Graduate	Partner	37760.0	0	0	2012-08-31	20	84	5	38	150	12	28	2	4	1	6	7	0	0	0	0	0	0	3	11	0	667	76	0	2	0	317
18	6565	1949	Postgraduate	Partner	76995.0	0	1	2013-03-28	91	1012	80	498	0	16	176	2	11	4	9	5	0	0	0	1	0	0	3	11	0	458	73	1	3	1	1782
19	2278	1985	Undergrade	Alone	33812.0	1	0	2012-11-03	86	4	17	19	30	24	39	2	2	1	3	6	0	0	0	0	0	0	3	11	0	603	37	1	2	1	133
20	9360	1982	Graduate	Partner	37040.0	0	0	2012-08-08	41	86	2	73	69	38	48	1	4	2	5	8	0	0	0	0	0	0	3	11	0	690	40	0	2	0	316
21	5376	1979	Graduate	Partner	2447.0	1	0	2013-01-06	42	1	1	1725	1	1	1	15	0	28	0	1	0	0	0	0	0	0	3	11	0	539	43	1	3	1	1730
22	1993	1949	Postgraduate	Partner	58607.0	0	1	2012-12-23	63	867	0	86	0	0	19	3	2	3	9	8	0	1	0	0	0	0	3	11	0	553	73	1	3	1	972
23	4047	1954	Postgraduate	Partner	65324.0	0	1	2014-01-11	0	384	0	102	21	32	5	3	6	2	9	4	0	0	0	0	0	0	3	11	0	169	68	1	3	1	544
24	1409	1951	Graduate	Partner	40689.0	0	1	2013-03-18	69	270	3	27	39	6	99	7	7	1	5	8	0	0	0	0	0	0	3	11	0	468	71	1	3	1	444
25	7892	1969	Graduate	Alone	18589.0	0	0	2013-01-02	89	6	4	25	15	12	13	2	2	1	3	7	0	0	0	0	0	0	3	11	0	543	53	0	1	0	75
26	2404	1976	Graduate	Partner	53359.0	1	1	2013-05-27	4	173	4	30	3	6	41	4	5	1	4	7	0	0	0	0	0	0	3	11	0	398	46	2	4	1	257
27	5255	1986	Graduate	Alone	52720.37365591398	1	0	2013-02-20	19	5	1	3	3	263	362	0	27	0	0	1	0	0	0	0	0	0	3	11	0	494	36	1	2	1	637
28	9422	1989	Graduate	Partner	38360.0	1	0	2013-05-31	26	36	2	42	20	21	10	2	2	1	4	3	0	0	0	0	0	0	3	11	0	394	33	1	3	1	131
29	1966	1965	Postgraduate	Partner	84618.0	0	0	2013-11-22	96	684	100	801	21	66	0	1	6	9	10	2	0	0	1	0	0	0	3	11	0	219	57	0	2	0	1672
30	6864	1989	Postgraduate	Alone	10979.0	0	0	2014-05-22	34	8	4	10	2	2	4	2	3	0	3	5	0	0	0	0	0	0	3	11	0	38	33	0	1	0	30
31	3033	1963	Postgraduate	Partner	38620.0	0	0	2013-05-11	56	112	17	44	34	22	89	1	2	5	3	3	0	0	0	0	0	0	3	11	0	414	59	0	2	0	318
32	5710	1970	Graduate	Partner	40548.0	0	1	2012-10-10	31	110	0	5	2	0	3	2	2	1	4	5	0	1	0	0	0	0	3	11	0	627	52	1	3	1	120
33	7373	1952	Postgraduate	Alone	46610.0	0	2	2012-10-29	8	96	12	96	33	22	43	6	4	1	6	6	0	0	0	0	0	0	3	11	1	608	70	2	3	1	302
34	8755	1946	Postgraduate	Partner	68657.0	0	0	2013-02-20	4	482	34	471	119	68	22	1	3	5	9	7	0	0	0	0	0	0	3	11	0	494	76	0	2	0	1196
35	10738	1951	Postgraduate	Alone	49389.0	1	1	2013-08-29	55	40	0	19	2	1	3	1	2	0	3	7	0	0	0	0	0	0	3	11	0	304	71	2	3	1	65
36	4339	1970	Postgraduate	Partner	67353.0	0	1	2013-12-31	37	702	17	151	0	8	35	5	5	6	12	2	0	0	0	0	0	0	3	11	0	180	52	1	3	1	913
37	10755	1976	Undergrade	Partner	23718.0	1	0	2013-09-02	76	6	3	14	15	7	36	3	3	1	2	7	0	0	0	0	0	0	3	11	0	300	46	1	3	1	81
38	8595	1973	Graduate	Alone	42429.0	0	1	2014-02-11	99	55	0	6	2	0	4	2	1	1	3	5	0	0	0	0	0	0	3	11	0	138	49	1	2	1	67
39	2968	1943	Postgraduate	Alone	48948.0	0	0	2013-02-01	53	437	8	206	160	49	42	2	7	10	5	6	1	0	0	0	0	0	3	11	1	513	79	0	1	0	902
40	8601	1980	Graduate	Partner	80011.0	0	1	2013-04-29	3	421	76	536	82	178	102	2	8	6	5	4	0	0	0	0	0	0	3	11	0	426	42	1	3	1	1395
41	503	1985	Postgraduate	Partner	20559.0	1	0	2013-03-12	88	13	1	29	3	0	7	2	2	0	3	8	0	0	0	0	0	0	3	11	0	474	37	1	3	1	53
42	8430	1957	Graduate	Partner	21994.0	0	1	2012-12-24	4	9	0	6	3	1	3	1	0	0	3	5	0	0	0	0	0	0	3	11	0	552	65	1	3	1	22
43	7281	1959	Postgraduate	Alone	56145.31392931393	0	0	2013-11-05	80	81	11	50	3	2	39	1	1	3	4	2	0	0	0	0	0	0	3	11	0	236	63	0	1	0	186
44	2139	1975	Postgraduate	Partner	7500.0	1	0	2013-10-02	19	3	1	10	3	2	12	3	2	0	3	5	0	0	0	0	0	0	3	11	0	270	47	1	3	1	31
45	1371	1976	Graduate	Alone	79941.0	0	0	2014-06-28	72	123	164	266	227	30	174	1	2	4	9	1	0	0	0	0	0	0	3	11	0	1	46	0	1	0	984
46	9909	1996	Undergrade	Partner	7500.0	0	0	2012-11-09	24	3	18	14	15	22	50	3	3	1	3	9	0	0	0	0	0	0	3	11	1	597	26	0	2	0	122
47	7286	1968	Graduate	Partner	41728.0	1	0	2013-05-24	92	13	6	15	3	5	13	1	2	0	2	10	0	0	0	0	0	0	3	11	0	401	54	1	3	1	55
48	7244	1951	Graduate	Alone	52720.37365591398	2	1	2014-01-01	96	48	5	48	6	10	7	3	2	1	4	6	0	0	0	0	0	0	3	11	0	179	71	3	4	1	124
49	6566	1954	Postgraduate	Partner	72550.0	1	1	2012-11-08	39	826	50	317	50	38	38	9	5	2	12	8	0	0	0	0	0	0	3	11	0	598	68	2	4	1	1319
50	8614	1957	Graduate	Alone	65486.0	0	1	2014-05-12	29	245	19	125	37	67	14	1	4	2	10	2	0	0	0	0	0	0	3	11	0	48	65	1	2	1	507
51	4114	1964	Postgraduate	Partner	79143.0	0	0	2012-08-11	2	650	37	780	27	167	32	1	6	9	13	3	0	0	0	0	0	0	3	11	0	687	58	0	2	0	1693
52	1331	1977	Graduate	Alone	35790.0	1	0	2013-01-02	54	12	6	20	30	1	3	2	2	0	3	7	0	0	0	0	0	0	3	11	0	543	45	1	2	1	72
53	2225	1977	Graduate	Alone	82582.0	0	0	2014-06-07	54	510	120	550	156	40	241	1	4	9	7	1	1	0	0	1	0	0	3	11	1	22	45	0	1	0	1617
54	9381	1978	Graduate	Partner	66373.0	1	1	2013-06-12	57	328	9	124	12	24	109	7	4	2	10	3	0	0	0	0	0	0	3	11	0	382	44	2	4	1	606
